geneName	AnovaP_genetic	FDR_genetic	Rank_genetic	AnovaP_OPP	FDR_OPP	Rank_OPP	Rank_OPP_GSEA	Rank_genetic_GSEA
PARP1	0.000277794931107106	0.00264800472082943	-2.57708124497692	0.997495991722159	0.998846827849467	-0.00050110528755515	-0.00108884078050824	-3.55627568304872
SMC1A	1.97187608988625e-07	1.50958498628236e-05	-4.82114243213774	0.655506841182598	0.739194642693056	-0.131241189322142	-0.183422771445525	-6.70512037903446
USP9X	0.000764081218647701	0.005385286610437	-2.26879117815636	0.0312182345076333	0.0642487402829066	1.19213538307131	1.50559166134001	-3.116860475278
MSH6	4.44943052964219e-05	0.000679306397181977	-3.16793429554066	0.956628732958358	0.971455821422889	-0.012576944882542	-0.0192565789544779	-4.35169556961684
PDS5B	3.32792761459718e-07	2.23366859398592e-05	-4.65098126205292	0.00982674440091617	0.0246549825589637	1.60809530035444	2.00759034004193	-6.47782612857209
RAD50	2.68254283000078e-06	9.55732108342191e-05	-4.01966382338583	0.352996351536896	0.459881478871124	-0.337354080719593	-0.452229783324874	-5.57145333527645
RECQL	6.15953388340623e-10	3.18817473805106e-07	-6.49645788373399	0.139782882055009	0.220181435641122	0.657219300888779	0.85454600945038	-9.21045215139464
TOP1	8.06113813577215e-06	0.000202545878595906	-3.6934765894158	0.472584136175123	0.579094575957017	-0.237250502832071	-0.325520860966959	-5.09360363670729
MSH2	1.41231344069966e-05	0.000302789347621452	-3.51885940774066	0.0646838584378085	0.117805647879696	-0.928833887951396	-1.18920408202059	-4.85006890777452
PPP2R2A	0.000124774276233664	0.00145748787796487	-2.83639504861345	0.366477426912784	0.473511523140431	0.324669447758046	0.435952770461133	-3.90387494062543
SAMHD1	1.81462970851758e-05	0.000352544532619042	-3.45278601612179	1.50566956579217e-09	4.3296364847446e-08	7.363548565378	8.82227032793533	-4.74121198327488
PBRM1	4.90420998551181e-05	0.000727340713037511	-3.1382621020303	0.023993540402959	0.051659968854291	1.28684585999804	1.61990566432798	-4.30943094273176
PRKCD	2.72530519988476e-05	0.000481439580703192	-3.31745820784089	0.0544091161672109	0.102969501016996	0.987291391813815	1.26432832880501	-4.56458485514742
PHF6	1.67350581563893e-05	0.000331879927270004	-3.47901901375438	0.136894441503193	0.216933625706152	-0.663673125133008	-0.863614185711885	-4.77637277407674
TRIP13	0.0011889962920134	0.00755122062265195	-2.12198284084301	0.0305358603533133	0.0630952547659679	1.20000330171384	1.51518983917122	-2.92481949976367
IKZF3	1.63765086308251e-08	3.26018494896734e-06	-5.48675776188372	9.05873397952292e-12	7.6865585373788e-10	9.11426806107798	11.0429324937279	-7.78577868157355
RB1	1.30472235257699e-06	5.82973734058822e-05	-4.23435101198247	0.00773502202465429	0.0201188311555832	1.69639725410447	2.11153844535541	-5.88448189719369
RBM15	3.11171548742875e-05	0.000535091008735257	-3.27157234652055	0.234850017612025	0.334779314557929	0.475241384164086	0.629209402911838	-4.50700011858735
CTCF	5.28922132079906e-06	0.000148856336168474	-3.82723267459174	0.975094989232758	0.982689186968216	-0.00758382268601676	-0.0109530752858638	-5.27660826009564
DNAJB1	0.000102508701559172	0.00125433815430325	-2.90158536721303	0.0789958285028417	0.138651206622824	0.858076346588434	1.10239584169728	-3.98923926749863
PIK3C3	3.29054909523095e-05	0.000552600991786902	-3.25758833996386	0.000488147749123643	0.00193316966294107	2.71373002882421	3.31144870890431	-4.4827316251105
NIPBL	0.000502986724335999	0.00412844600241708	-2.38421339134073	0.0612329127025603	0.11291113507248	-0.947263226701494	-1.2130150817277	-3.29844347741665
MLH1	4.62724502094766e-05	0.000696238960128636	-3.15724167812806	0.271536139734204	0.374492688319808	0.426556657145715	0.566172360393277	-4.33467750321717
IRF8	2.3675422524244e-05	0.000434935776153352	-3.36157486746241	0.638805250470647	0.726214798250839	0.138934905611504	0.194631522963958	-4.62570226160409
CHEK1	5.52969940470949e-05	0.000797262510272321	-3.09839865728462	0.0215817887223016	0.0473938644152028	1.32427787822244	1.66591256335876	-4.25729847636694
CBFB	5.98569888069971e-05	0.000839619983916035	-3.07591723326118	6.17934734722216e-11	3.55381131880243e-09	8.44930563375587	10.2090573919772	-4.22288513476276
TFAP4	0.00155607913133168	0.00918388321980933	-2.03697364730181	0.088608039678053	0.15221878970249	0.817531735473194	1.05252687146048	-2.80796832159642
MEN1	3.36603845306997e-07	2.23366859398592e-05	-4.65098126205292	0.000657224538567767	0.00247223416542642	-2.6069103960686	-3.18228622982976	-6.47288092702308
UBE2A	0.00104979250306835	0.00692194394379843	-2.15977192208864	7.17099988981308e-05	0.000377366162058442	3.42323704505648	4.14442028417149	-2.97889653300403
ESCO2	0.000345016877450785	0.00310575192640916	-2.50783323672538	0.347745897535981	0.454413725232577	0.342548559553311	0.458737984809662	-3.4621596596964
EP400	0.000639752555998466	0.00480603661806685	-2.31821292455089	0.722260137604711	0.795238985799188	0.0995023372344443	0.141306353706836	-3.19398797030391
B2M	0.000521516612065795	0.00421776560008212	-2.37491755959405	0.000161915096865901	0.000752309283104041	3.12360357918043	3.79071265600337	-3.28273185327081
