case	Index	Histology	Class	Site	DNA	Gender	Idb	tissue	BCL2	MYC	BCL2_MYC	Type	ZCCHC7	PAX5.noncoding	PAX5_INDEL	Pos37025363GC	Pos37026315GC	Pos37026417GC	Pos37026680GC	z_PAX5	z_ZCCHC7	Mutation_number	WRCY	AID_fraction
VAL	1	GCB	Metastasis	DLBCL	noWGS	female	NotAvailable	CellLine	IgH	IgH	SV	DHL	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.806665	13.486561	NA	NA	NA
OCILY7	2	GCB	Primary	DLBCL	WGS	male	SRR3192557	CellLine	WT	IgH	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	13.072527	12.370731	NA	NA	NA
OCILY18	3	GCB	Primary	DLBCL	noWGS	male	NotAvailable	CellLine	IgH	IgH	SV	DHL	Gain	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.04398	15.102129	NA	NA	NA
A3KAW	4	U	Primary	DLBCL	WGS	female	NotAvailable	CellLine	WT	IgH	SV	nonDHL	WT	WT	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	6.925255	10.606129	NA	NA	NA
SUDHL5	5	GCB	Primary	DLBCL	noWGS	female	NotAvailable	CellLine	IgH	IgH	SV	DHL	WT	Mut	WT	WT	Mut	WT	WT	14.568026	12.125916	NA	NA	NA
SUDHL8	6	GCB	Metastasis	DLBCL	noWGS	male	NotAvailable	CellLine	WT	WT	WT	nonDHL	WT	Mut	WT	WT	WT	WT	WT	15.162831	12.768605	NA	NA	NA
SUDHL6	7	GCB	Metastasis	DLBCL	WGS	male	SRR8615369	CellLine	IgH	ZCCHC7	SV	DHL	Gain	Mut	WT	WT	WT	WT	WT	14.495631	13.859668	NA	NA	NA
WSUDLCL2	8	GCB	Metastasis	DLBCL	WGS	male	SRR8618307	CellLine	IgH	BCL6	SV	DHL	WT	WT	WT	WT	WT	WT	WT	14.82164	12.616283	NA	NA	NA
CA46	9	U	Metastasis	BNHL	noWGS	male	SRR8618308	CellLine	WT	IgH	SV	nonDHL	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.971715	13.688384	NA	NA	NA
NUDHL1	10	GCB	Metastasis	DLBCL	WGS	male	SRR8618309	CellLine	IgH	BCL6	SV	DHL	Gain	WT	WT	WT	WT	WT	WT	15.086556	13.626383	NA	NA	NA
RL	11	GCB	Metastasis	DLBCL	noWGS	male	SRR8618310	CellLine	IgH	WT	SV	nonDHL	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.024128	12.042267	NA	NA	NA
SUDHL4	12	GCB	Metastasis	DLBCL	noWGS	male	NotAvailable	CellLine	IgH	BCL6	SV	DHL	WT	WT	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.535761	12.178375	NA	NA	NA
DB	13	GCB	Metastasis	DLBCL	WGS	male	SRR8615952	CellLine	IgH	BCL6	SV	DHL	WT	WT	WT	WT	WT	WT	WT	15.370198	12.332554	NA	NA	NA
KARPAS422	14	GCB	Metastasis	DLBCL	WGS	female	SRR8615704	CellLine	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	15.657237	11.805237	NA	NA	NA
NUDUL1	15	ABC	Metastasis	DLBCL	WGS	male	SRR8615441	CellLine	WT	IgH	SV	nonDHL	WT	Mut	Mut	WT	WT	Mut	WT	14.996037	12.307935	NA	NA	NA
TOLEDO	16	GCB	Primary	DLBCL	noWGS	male	NotAvailable	CellLine	IgH	IgH	SV	DHL	WT	Mut	WT	WT	Mut	Mut	Mut	14.883064	12.541352	NA	NA	NA
SUDHL10	17	GCB	Metastasis	DLBCL	noWGS	male	NotAvailable	CellLine	IgH	IgH	SV	DHL	WT	WT	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.66047	11.754801	NA	NA	NA
OCILY3	18	ABC	Primary	DLBCL	WGS	male	SRR8615263	CellLine	WT	WT	WT	nonDHL	WT	Mut	Mut	Mut	WT	WT	Mut	15.206915	11.144468	NA	NA	NA
A4FUK	19	U	Primary	DLBCL	noWGS	female	NotAvailable	CellLine	WT	WT	WT	nonDHL	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	7.906305	10.730222	NA	NA	NA
PFEIFFER	20	GCB	Metastasis	DLBCL	noWGS	male	NotAvailable	CellLine	IgH	WT	SV	nonDHL	WT	Mut	WT	WT	Mut	Mut	WT	14.802709	11.652793	NA	NA	NA
OCILY19	21	GCB	Primary	DLBCL	WGS	female	SRR8615509	CellLine	IgH	Intergenic	SV	DHL	WT	WT	WT	WT	WT	WT	WT	14.70725	13.035969	NA	NA	NA
DOHH2	22	GCB	Metastasis	DLBCL	WGS	male	SRR8615631	CellLine	IgH	IgH	SV	DHL	WT	Mut	WT	WT	WT	WT	WT	15.233729	12.094352	NA	NA	NA
RG003_1	24	GCB	Primary	DLBCL	WGS	male	SRR1303112	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.74643	11.854697	NA	NA	NA
RG003_2	25	GCB	Primary	DLBCL	WGS	male	SRR554509	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.657595	11.911234	7520	319	0.042420213
RG005	26	GCB	Primary	DLBCL	noWGS	male	SRR390820	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.970144	13.670478	NA	NA	NA
RG006	27	GCB	Primary	DLBCL	noWGS	female	SRR390821	Tumor	IgH	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.1706	12.884724	NA	NA	NA
RG007	28	GCB	Primary	DLBCL	noWGS	male	SRR391486	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.777074	12.316172	NA	NA	NA
