chr1	203304848	203307669	loci65	chr1	203305491	203309602	BTG2	4111
chr1	227352443	227356392	loci80	chr1	226989865	227318492	ITPKB	328627
chr10	124545277	124547995	loci138	chr10	124461823	124617888	LHPP	156065
chr10	124600892	124603121	loci139	chr10	124461823	124617888	LHPP	156065
chr10	124618900	124621566	loci140	chr10	124619292	124744378	FAM53B	125086
chr11	102316010	102319067	loci200	chr11	102317450	102339403	BIRC3	21953
chr11	111378158	111380164	loci205	chr11	111352255	111455630	POU2AF1	103375
chr11	128520407	128523023	loci213	chr11	128458761	128587558	ETS1	128797
chr12	92143611	92146228	loci261	chr12	92140278	92145846	BTG1	5568
chr12	113054690	113059784	loci275	chr12	113056730	113098028	DTX1	41298
chr12	121991260	121993898	loci279	chr12	121918592	122003927	CFAP251	85335
chr12	122019331	122028575	loci281	chr12	122019422	122062044	BCL7A	42622
chr13	40664484	40667210	loci295	chr13	40555667	40666641	FOXO1	110974
chr13	46385673	46387764	loci300	chr13	46334681	46438190	RUBCNL	103509
chr14	68791285	68793568	loci372	chr14	68787660	68796253	ZFP36L1	8593
chr14	95712533	95714747	loci392	chr14	95709947	95714196	TCL1A	4249
chr14	105588331	105592242	loci400	chr14	105586437	106879844	IGH	1293407
chr14	105598519	105606176	loci401	chr14	105586437	106879844	IGH	1293407
chr14	105645364	105649004	loci402	chr14	105586437	106879844	IGH	1293407
chr14	105858699	105864100	loci406	chr14	105586437	106879844	IGH	1293407
chr14	106268036	106270753	loci408	chr14	105586437	106879844	IGH	1293407
chr14	106769000	106771851	loci412	chr14	105586437	106879844	IGH	1293407
chr15	59370833	59374371	loci428	chr15	59132434	59372871	MYO1E	240437
chr16	10876805	10881516	loci442	chr16	10866222	10943021	CIITA	76799
chr16	11253244	11256552	loci443	chr16	11254417	11256204	SOCS1	1787
chr16	85897154	85901140	loci463	chr16	85899116	85922606	IRF8	23490
chr17	39775333	39778706	loci474	chr17	39757718	39864312	IKZF3	106594
chr17	58330165	58333293	loci478	chr17	58331232	58331318	MIR142	86
chr17	59837987	59840377	loci480	chr17	59707192	59842255	VMP1	135063
chr18	63137143	63140673	loci525	chr18	63123346	63320128	BCL2	196782
chr18	63141130	63144190	loci526	chr18	63123346	63320128	BCL2	196782
chr18	63153843	63156371	loci527	chr18	63123346	63320128	BCL2	196782
chr18	63156520	63159794	loci528	chr18	63123346	63320128	BCL2	196782
chr18	63159895	63164433	loci529	chr18	63123346	63320128	BCL2	196782
chr18	63314846	63322524	loci531	chr18	63123346	63320128	BCL2	196782
chr19	10228127	10232202	loci546	chr19	10221433	10231331	S1PR2	9898
chr2	47694090	47698908	loci584	chr2	47695530	47810063	MSH6	114533
chr2	88857043	88860470	loci615	chr2	88857361	90235368	IGK	1378007
chr2	136115785	136118749	loci635	chr2	136114349	136119177	CXCR4	4828
chr20	47501364	47503676	loci693	chr20	47501887	47656877	NCOA3	154990
chr20	57264501	57266901	loci700	chr20	57168753	57266641	BMP7	97888
chr22	22030164	22032448	loci721	chr22	22026076	22922913	IGL	896837
chr22	22161439	22163546	loci723	chr22	22026076	22922913	IGL	896837
chr22	22194895	22197320	loci724	chr22	22026076	22922913	IGL	896837
chr22	22368866	22371436	loci725	chr22	22026076	22922913	IGL	896837
chr22	22375148	22377505	loci726	chr22	22026076	22922913	IGL	896837
chr22	22378240	22384881	loci727	chr22	22026076	22922913	IGL	896837
chr22	22403490	22405818	loci729	chr22	22026076	22922913	IGL	896837
chr22	22685896	22688170	loci731	chr22	22026076	22922913	IGL	896837
chr22	22879891	22882048	loci738	chr22	22026076	22922913	IGL	896837
chr22	22900941	22906226	loci741	chr22	22026076	22922913	IGL	896837
chr22	22938205	22941887	loci744	chr22	22026076	22922913	IGL	896837
chr22	23180026	23182885	loci745	chr22	23179704	23318037	BCR	138333
chr3	16376837	16379153	loci848	chr3	16313574	16514026	RFTN1	200452
chr3	31979106	31982253	loci853	chr3	31657912	32077580	OSBPL10	419668
chr3	60632203	60636252	loci863	chr3	59747277	61251459	FHIT	1504182
chr3	60637548	60639801	loci864	chr3	59747277	61251459	FHIT	1504182
chr3	60700857	60704492	loci866	chr3	59747277	61251459	FHIT	1504182
chr3	186994544	186997833	loci929	chr3	186930325	187078553	ST6GAL1	148228
chr3	187021199	187023839	loci930	chr3	186930325	187078553	ST6GAL1	148228
chr3	187063797	187067293	loci931	chr3	186930325	187078553	ST6GAL1	148228
chr3	187741870	187747349	loci932	chr3	187721377	187745725	BCL6	24348
chr3	187940855	187944464	loci934	chr3	187889202	188007603	BCL6-SE	118401
chr3	188238400	188242131	loci938	chr3	188153284	188890671	LPP	737387
chr4	25860508	25863788	loci948	chr4	25747433	25863760	SEL1L3	116327
chr4	40191466	40194412	loci958	chr4	40191053	40246967	RHOH	55914
